experiment_group,suite,method,episodes,observation_ack_packets_per_episode,screening_packets_upper_per_episode,cbba_packets_per_episode,total_packets_upper_per_episode,observation_ack_bytes_per_episode,screening_bytes_upper_per_episode,cbba_bytes_per_episode,total_bytes_upper_per_episode,accounting_convention
core_comparison,core_comparison,B1m,4096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
core_comparison,core_comparison,B2,4096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
core_comparison,core_comparison,B3,4096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
core_comparison,core_comparison,B4,4096,7.232421875,23.47900390625,107.61083984375,138.322265625,202.5078125,1843.099609375,6649.453125,8695.060546875,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
core_comparison,core_comparison,B5(2),4096,5.361328125,23.0751953125,102.76611328125,131.20263671875,150.1171875,2577.19921875,6363.78515625,9091.1015625,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
core_comparison,core_comparison,B5(4),4096,5.11376953125,14.41455078125,68.1728515625,87.701171875,143.185546875,1600.376953125,4204.06640625,5947.62890625,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
core_comparison,core_comparison,B5(8),4096,5.349609375,11.3046875,56.4306640625,73.0849609375,149.7890625,1231.3359375,3428.89453125,4810.01953125,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
core_comparison,core_comparison,B6,4096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
core_comparison,core_comparison,CEX,4096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
core_comparison,core_comparison,P,4096,7.531005859375,24.357421875,112.49609375,144.384521484375,210.8681640625,2727.1640625,6966.1875,9904.2197265625,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
external_validation,allocation_pressure,B6,384,117.33072916666667,712.34375,0.0,829.6744791666666,3285.2604166666665,264991.875,0.0,268277.1354166667,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
