panel,label,contrast,scenario_count,mean,ci_low,ci_high,win,tie,loss,inference_label
pooled_contrast,P-B1m,P-B1m,4096,0.07586910244785196,0.07151290733130193,0.08031836304795326,1825,714,1557,confirmatory_primary
primary_by_cell,N2-M3-Rloose,P-B1m,512,0.1065047018830753,0.08974388141840105,0.12334919409391848,237,83,192,descriptive_cell_bootstrap
primary_by_cell,N2-M3-Rtight,P-B1m,512,0.0419948073953254,0.0312890924805284,0.05311488005296906,113,229,170,descriptive_cell_bootstrap
primary_by_cell,N2-M5-Rloose,P-B1m,512,0.09119361336506711,0.07922700410580008,0.10310670015299962,314,0,198,descriptive_cell_bootstrap
primary_by_cell,N2-M5-Rtight,P-B1m,512,0.024236563172291413,0.017977848473081995,0.030623183211183073,233,120,159,descriptive_cell_bootstrap
primary_by_cell,N3-M3-Rloose,P-B1m,512,0.13209584000871308,0.11516970605831195,0.14878149854339096,278,74,160,descriptive_cell_bootstrap
primary_by_cell,N3-M3-Rtight,P-B1m,512,0.04358123935630616,0.032199307010225366,0.055603391913146206,112,149,251,descriptive_cell_bootstrap
primary_by_cell,N3-M5-Rloose,P-B1m,512,0.12832755464153206,0.11548767543393372,0.14084421106947023,375,0,137,descriptive_cell_bootstrap
primary_by_cell,N3-M5-Rtight,P-B1m,512,0.03901849976050514,0.030649564390080004,0.04752163903989578,163,59,290,descriptive_cell_bootstrap
pooled_contrast,P-B2,P-B2,4096,0.04866952933499982,0.04520450112734174,0.05211947782300401,2492,0,1604,registered_secondary_or_sensitivity
pooled_contrast,P-B3,P-B3,4096,0.015574269127579374,0.013026713034497933,0.018211221072803617,2369,295,1432,registered_secondary_or_sensitivity
pooled_contrast,P-B4,P-B4,4096,0.004942622485017401,0.0028945008488788916,0.006993018286974254,1186,480,2430,registered_secondary_or_sensitivity
pooled_contrast,P-B5(2),P-B5(2),4096,0.03917838018719015,0.03579304951313695,0.042620188217548434,1559,779,1758,registered_secondary_or_sensitivity
pooled_contrast,P-B5(4),P-B5(4),4096,0.04132703029582171,0.03782245545017677,0.04487902636460892,1500,807,1789,registered_secondary_or_sensitivity
pooled_contrast,P-B5(8),P-B5(8),4096,0.024287775348669095,0.021679065317580154,0.026923522610817558,1419,859,1818,registered_secondary_or_sensitivity
pooled_contrast,P-B6,P-B6,4096,0.00384563789107293,0.0022109045970525707,0.005488100011807471,1398,2067,631,registered_secondary_or_sensitivity
pooled_contrast,P-CEX,P-CEX,4096,-2.1307347220768987e-05,-0.0007428980909246222,0.0007102029072775047,268,3649,179,registered_secondary_or_sensitivity
