scenario_id,cell_id,p_bda_count,bda_group,delta_normalized_utility,delta_destroyed_value,delta_service_cost,delta_distance_cost,delta_ammo_cost,delta_realized_utility,delta_invalid_attack,delta_initial_wreck_attack,utility_identity_residual,ecdf
D2-N3-M3-Rtight-S1151,N3-M3-Rtight,3,2+,-0.469181628221263,-74.42217017001397,1.820749932203853,-0.6738595868157368,-0.5,-75.06906051540209,0,0,0.0,0.000244140625
D2-N3-M3-Rtight-S1316,N3-M3-Rtight,3,2+,-0.38212000677603736,-81.34092287968507,6.854699648062951,-0.30802096925941486,0.0,-87.8876015584886,1,1,0.0,0.00048828125
D2-N3-M3-Rtight-S1409,N3-M3-Rtight,4,2+,-0.3795536339536205,-78.16524009126391,9.131514351825569,0.0005813662432461175,0.0,-87.29733580933272,0,0,-1.4210854715202004e-14,0.000732421875
D2-N2-M3-Rtight-S1396,N2-M3-Rtight,1,1,-0.3756455432305085,-85.10109413677736,1.06358895898755,0.2337918472520567,0.0,-86.39847494301696,1,0,0.0,0.0009765625
D2-N2-M3-Rloose-S1346,N2-M3-Rloose,1,1,-0.3659787317062641,-68.57774294955442,-9.021145876552161,0.0,-1.0,-58.55659707300226,0,0,0.0,0.001220703125
D2-N2-M3-Rtight-S1192,N2-M3-Rtight,2,2+,-0.3551318165893952,-83.74118655874348,-1.5608687431825885,0.0,-0.5,-81.6803178155609,0,0,0.0,0.00146484375
D2-N2-M3-Rloose-S1493,N2-M3-Rloose,4,2+,-0.3449132355285607,-66.04049640619739,13.519419752328407,-0.729871986956838,0.5,-79.33004417156896,-1,0,0.0,0.001708984375
D2-N2-M3-Rtight-S1225,N2-M3-Rtight,1,1,-0.3437080773311207,-76.34120719694378,2.512049182019007,0.19960140719495012,0.0,-79.05285778615774,1,1,0.0,0.001953125
D2-N2-M3-Rtight-S1180,N2-M3-Rtight,1,1,-0.3401315953346802,-75.5863558038434,2.5926238021650985,0.05128732096793587,0.0,-78.23026692697644,1,1,1.4210854715202004e-14,0.002197265625
D2-N2-M3-Rtight-S1398,N2-M3-Rtight,1,1,-0.3393889268930416,-80.8518081574593,-2.4089445515190446,0.11658957945931847,-0.5,-78.05945318539958,0,0,0.0,0.00244140625
D2-N3-M3-Rtight-S1084,N3-M3-Rtight,1,1,-0.32663805021340975,-78.19606459025252,-2.0773826840926777,-0.4919303570755882,-0.5,-75.12675154908425,0,0,0.0,0.002685546875
D2-N2-M3-Rtight-S1130,N2-M3-Rtight,1,1,-0.3150155891329743,-76.8882395061169,-3.934654005532801,0.0,-0.5,-72.4535855005841,0,0,0.0,0.0029296875
D2-N2-M3-Rtight-S1305,N2-M3-Rtight,1,1,-0.3101301824773605,-75.70399376518233,-3.8740517953894305,0.0,-0.5,-71.32994196979291,0,0,1.4210854715202004e-14,0.003173828125
D2-N3-M3-Rloose-S1192,N3-M3-Rloose,3,2+,-0.30646556658255625,-80.36832123395507,-8.881240919967134,0.0,-1.0,-70.48708031398795,-1,0,0.0,0.00341796875
D2-N3-M3-Rtight-S1180,N3-M3-Rtight,1,1,-0.3044924044737251,-72.91886335112274,-1.768335277509692,-0.617275044656266,-0.5,-70.03325302895678,0,0,0.0,0.003662109375
D2-N2-M3-Rtight-S1289,N2-M3-Rtight,1,1,-0.2943370747751356,-72.63172330010809,-3.535203515493837,-0.8989925863330702,-0.5,-67.6975271982812,0,0,0.0,0.00390625
D2-N2-M3-Rloose-S1364,N2-M3-Rloose,2,2+,-0.29354383312316734,-84.3376487516237,-15.322567133295205,0.0,-1.5,-67.5150816183285,-1,0,0.0,0.004150390625
D2-N2-M5-Rtight-S1177,N2-M5-Rtight,2,2+,-0.2906036450464349,-78.9344665924145,5.941164962831252,-0.6005744917796597,0.0,-84.2750570634661,1,1,0.0,0.00439453125
D2-N3-M3-Rloose-S1141,N3-M3-Rloose,3,2+,-0.2882462631440817,-78.98395803493119,-11.1873175117924,0.0,-1.5,-66.29664052313879,-2,0,0.0,0.004638671875
D2-N3-M3-Rtight-S1420,N3-M3-Rtight,0,0,-0.28572832217079236,-73.4026867306295,-6.239124395959511,-0.9460482353877524,-0.5,-65.71751409928224,0,0,0.0,0.0048828125
D2-N2-M3-Rloose-S1114,N2-M3-Rloose,1,1,-0.28455294089942346,-76.41027087856182,-9.963094471694422,0.0,-1.0,-65.4471764068674,-1,0,0.0,0.005126953125
D2-N2-M5-Rtight-S1290,N2-M5-Rtight,2,2+,-0.2818034202835232,-78.11603774375081,3.578471258427806,0.028482880043114944,0.0,-81.72299188222172,0,0,-1.4210854715202004e-14,0.00537109375
D2-N2-M5-Rtight-S1104,N2-M5-Rtight,1,1,-0.2813197015695113,-78.82631868383274,2.4253512277337883,0.3310435435917507,0.0,-81.58271345515828,1,1,1.4210854715202004e-14,0.005615234375
D2-N3-M5-Rtight-S1156,N3-M5-Rtight,1,1,-0.27844729377821237,-85.63180985421663,-4.382094658535024,0.0,-0.5,-80.74971519568159,0,0,-1.4210854715202004e-14,0.005859375
D2-N2-M3-Rloose-S1448,N2-M3-Rloose,5,2+,-0.2727951695603352,-56.500645620696524,6.846350553734332,-0.6041071755537473,0.0,-62.742888998877106,0,0,0.0,0.006103515625
D2-N2-M3-Rloose-S1129,N2-M3-Rloose,2,2+,-0.2723235905350247,-72.17900974349264,-8.544583920436953,0.0,-1.0,-62.634425823055665,-1,0,-2.842170943040401e-14,0.00634765625
D2-N3-M5-Rtight-S1296,N3-M5-Rtight,2,2+,-0.26966271724211976,-78.2348883920027,1.0580754558106626,-0.5907758475986311,-0.5,-78.20218800021475,0,0,1.4210854715202004e-14,0.006591796875
D2-N2-M3-Rtight-S1284,N2-M3-Rtight,1,1,-0.2686151268299217,-78.19148089975806,2.1828073413564777,0.21024980786198633,0.0,-80.58453804897653,1,1,0.0,0.0068359375
D2-N3-M3-Rloose-S1416,N3-M3-Rloose,2,2+,-0.26720463309741116,-71.03709035795693,-8.395591579500447,-0.1844331660519155,-1.0,-61.45706561240456,-1,0,0.0,0.007080078125
D2-N3-M3-Rloose-S1465,N3-M3-Rloose,2,2+,-0.2667401823989751,-71.06396782696744,-8.277551948303206,-0.43617392689995504,-1.0,-61.350241951764275,-1,0,-7.105427357601002e-15,0.00732421875
D2-N3-M3-Rloose-S1274,N3-M3-Rloose,1,1,-0.2577811073605918,-81.80694970102714,-20.086149277240573,-0.43114573085045405,-2.0,-59.28965469293611,-3,0,0.0,0.007568359375
D2-N3-M3-Rtight-S1149,N3-M3-Rtight,1,1,-0.2544838342006307,-79.77903718238221,-2.2874285212523766,-0.646458400940609,-0.5,-76.34515026018921,0,0,-1.4210854715202004e-14,0.0078125
