record_type,suite,condition,status_group,scenario_count,mean,median,ci_low,ci_high,win,tie,loss,analysis_label
overall_contrast,scale,all,all,672,0.01677483549217954,0.0,0.012608179718664965,0.021230043275278675,84,557,31,registered_external_validation
overall_contrast,continuous_belief,all,all,1024,0.0015267452153528045,0.0,0.00040453666384705826,0.0029402069043499464,13,1003,8,registered_external_validation
overall_contrast,model_mismatch,all,all,4608,-9.388584914867785e-05,0.0,-0.00013637270003316894,-5.505612045047253e-05,7,4574,27,registered_external_validation
overall_contrast,utility_profile,all,all,1536,-3.997649054430712e-06,0.0,-1.1365608302456924e-05,0.0,0,1534,2,registered_external_validation
overall_contrast,cbba_isolation,all,all,512,0.0,0.0,0.0,0.0,0,512,0,registered_external_validation
overall_contrast,allocation_pressure,all,all,384,0.014149177770444762,0.0,0.009267957601097176,0.019592201441468803,57,307,20,registered_external_validation
status_stratum,scale,all,converged,585,4.415514972375276e-06,0.0,-0.00031854840638346273,0.0003626756844748025,13,557,15,posthoc_descriptive_status_stratum
status_stratum,scale,all,cycle_or_round_cap,87,0.12954145258029667,0.16818071506808357,0.10698644453143714,0.15130758830351496,71,0,16,posthoc_descriptive_status_stratum
status_stratum,allocation_pressure,all,converged,326,-0.0008814168748088157,0.0,-0.0017453012629545257,-0.00015781454716417797,10,307,9,posthoc_descriptive_status_stratum
status_stratum,allocation_pressure,all,cycle_or_round_cap,58,0.09863148560411142,0.09691724810986499,0.07137697426831388,0.1257934220702512,47,0,11,posthoc_descriptive_status_stratum
status_stratum,allocation_pressure,combined_stress,converged,64,0.0,0.0,0.0,0.0,0,64,0,posthoc_descriptive_status_stratum
status_stratum,allocation_pressure,long_routes,converged,55,-0.00110554654615906,0.0,-0.003021895674546717,2.6923072867867206e-05,1,52,2,posthoc_descriptive_status_stratum
status_stratum,allocation_pressure,long_routes,cycle_or_round_cap,9,0.1317633035601051,0.16618642937212547,0.0780990084409111,0.173270340765393,8,0,1,posthoc_descriptive_status_stratum
status_stratum,allocation_pressure,reference,converged,54,-0.0011313123177106202,0.0,-0.0035941287526115645,0.00025451467821548834,2,49,3,posthoc_descriptive_status_stratum
status_stratum,allocation_pressure,reference,cycle_or_round_cap,10,0.10907461699265726,0.13520984080429754,0.04123456740694189,0.1774772397823469,8,0,2,posthoc_descriptive_status_stratum
status_stratum,allocation_pressure,shared_high_value,converged,55,0.0,0.0,0.0,0.0,0,55,0,posthoc_descriptive_status_stratum
status_stratum,allocation_pressure,shared_high_value,cycle_or_round_cap,9,-0.0004499541868018249,0.0014836084074100198,-0.0027381208290742655,0.001200824624954691,5,0,4,posthoc_descriptive_status_stratum
status_stratum,allocation_pressure,target_clustered,converged,40,-0.0034055304136322044,0.0,-0.008423402198168077,0.00039538808355294304,3,34,3,posthoc_descriptive_status_stratum
status_stratum,allocation_pressure,target_clustered,cycle_or_round_cap,24,0.12015455377382335,0.1519571100454761,0.0785484659119796,0.16236892808327924,22,0,2,posthoc_descriptive_status_stratum
status_stratum,allocation_pressure,tight_resources,converged,58,-0.0005038751628838605,0.0,-0.002423544348708079,0.0006597790307601825,4,53,1,posthoc_descriptive_status_stratum
status_stratum,allocation_pressure,tight_resources,cycle_or_round_cap,6,0.09405842669673327,0.0841173637584648,0.0026854689248930336,0.1959559758238294,4,0,2,posthoc_descriptive_status_stratum
