cell_id,agents,targets,method,episodes,mean_normalized_utility,allocator_calls,converged_calls,nonconverged_calls,convergence_rate,rounds_per_converged_epoch,message_packets_per_converged_epoch,planning_ms_p50,planning_ms_p95,nonconverged_wasted_rounds,nonconverged_wasted_message_packets
N4-M10-Rscaled,4,10,B1m,96,0.08762922550774986,96,96,0,1.0,6.59375,79.125,15.625,15.625,0,0
N4-M10-Rscaled,4,10,B4,96,0.18802233292791473,1577,1577,0,1.0,4.455294863665187,19.23145212428662,0.0,15.625,0,0
N4-M10-Rscaled,4,10,B5(4),96,0.1821642381954328,760,760,0,1.0,5.144736842105263,40.20789473684211,0.0,15.625,0,0
N4-M10-Rscaled,4,10,B6,96,0.18692711638253945,1771,1771,0,1.0,0.0,0.0,0.0,15.625,0,0
N4-M10-Rscaled,4,10,DVCBBA,96,0.18886256184734115,1620,1615,5,0.9969135802469136,4.162848297213622,18.681114551083592,0.0,15.625,27,294
N4-M10-Rscaled,4,10,P,96,0.19849344182412124,1686,1686,0,1.0,4.529062870699882,20.99644128113879,0.0,15.625,0,0
N4-M10-Rscaled,4,10,SCBBA,96,0.08297705310718521,96,92,4,0.9583333333333334,5.815217391304348,69.78260869565217,15.625,15.625,24,288
N6-M10-Rscaled,6,10,B1m,96,0.08983837258661348,96,96,0,1.0,6.458333333333333,193.75,15.625,31.25,0,0
N6-M10-Rscaled,6,10,B4,96,0.1794291229286624,1507,1507,0,1.0,4.595885865958858,54.84804246848042,0.0,15.625,0,0
N6-M10-Rscaled,6,10,B5(4),96,0.16250930544366685,649,649,0,1.0,5.149460708782743,102.87519260400616,0.0,15.625,0,0
N6-M10-Rscaled,6,10,B6,96,0.1845295138026284,1673,1673,0,1.0,0.0,0.0,0.0,15.625,0,0
N6-M10-Rscaled,6,10,DVCBBA,96,0.18575027036033567,1565,1563,2,0.9987220447284345,4.165067178502879,54.865003198976325,0.0,15.625,14,420
N6-M10-Rscaled,6,10,P,96,0.18791880941814568,1591,1591,0,1.0,4.641106222501572,60.546825895663105,0.0,15.625,0,0
N6-M10-Rscaled,6,10,SCBBA,96,0.08936359962549223,96,94,2,0.9791666666666666,5.808510638297872,174.25531914893617,15.625,19.53125,14,420
N6-M15-Rscaled,6,15,B1m,96,0.08403012612370701,96,96,0,1.0,6.875,206.25,31.25,46.875,0,0
N6-M15-Rscaled,6,15,B4,96,0.1819020955985292,2398,2398,0,1.0,4.440366972477064,39.48874061718099,0.0,15.625,0,0
N6-M15-Rscaled,6,15,B5(4),96,0.17514865951749992,898,898,0,1.0,5.348552338530067,104.88641425389756,15.625,31.25,0,0
N6-M15-Rscaled,6,15,B6,96,0.17974509747939707,2699,2699,0,1.0,0.0,0.0,0.0,15.625,0,0
