suite,contrast,comparison_role,scenario_count,stratum_or_block_count,p_mean,baseline_mean,absolute_difference,relative_improvement_percent,relative_ci_low,relative_ci_high,bootstrap_unit
core_comparison,P-B1m,core,4096,8,0.1655844248771542,0.08971532242930222,0.07586910244785197,84.56649365289704,76.78153746480693,93.27964376694948,paired scenario within cell; equal-cell aggregation
core_comparison,P-B2,core,4096,8,0.1655844248771542,0.11691489554215435,0.048669529334999836,41.6281681725078,37.62217138810805,45.96821032688016,paired scenario within cell; equal-cell aggregation
core_comparison,P-B3,core,4096,8,0.1655844248771542,0.1500101557495748,0.015574269127579393,10.38214316207957,8.51355034444704,12.267050627311319,paired scenario within cell; equal-cell aggregation
core_comparison,P-B4,core,4096,8,0.1655844248771542,0.1606418023921368,0.004942622485017395,3.0767972043491776,1.7538733826938144,4.415532478916804,paired scenario within cell; equal-cell aggregation
core_comparison,P-B5(2),core,4096,8,0.1655844248771542,0.12640604468996403,0.039178380187190165,30.994071749719673,27.522729923148347,34.56573920024672,paired scenario within cell; equal-cell aggregation
core_comparison,P-B5(4),core,4096,8,0.1655844248771542,0.12425739458133246,0.04132703029582173,33.25921200510219,29.645047809558957,37.05558364923413,paired scenario within cell; equal-cell aggregation
core_comparison,P-B5(8),core,4096,8,0.1655844248771542,0.14129664952848509,0.024287775348669105,17.189208257746227,15.136933123890902,19.33621258324314,paired scenario within cell; equal-cell aggregation
core_comparison,P-B6,core,4096,8,0.1655844248771542,0.16173878698608124,0.0038456378910729505,2.3776843902037514,1.3561257777960434,3.3970639725746796,paired scenario within cell; equal-cell aggregation
core_comparison,P-CEX,core,4096,8,0.1655844248771542,0.16560573222437497,-2.1307347220778095e-05,-0.01286631020229983,-0.45218329661787643,0.4331267188299314,paired scenario within cell; equal-cell aggregation
scale,P-SCBBA,external_validation,672,7,0.1853586815705567,0.07921332406288568,0.10614535750767103,133.99937291282538,119.33346851901469,150.61270688026215,paired scenario within registered stratum; equal-stratum aggregation
scale,P-B1m,external_validation,672,7,0.1853586815705567,0.08667702288254875,0.09868165868800796,113.8498478676708,101.94529393081523,127.41368899941108,paired scenario within registered stratum; equal-stratum aggregation
scale,P-DVCBBA,external_validation,672,7,0.1853586815705567,0.1685838460783772,0.016774835492179507,9.950440615989168,7.357165427501252,12.812349656733055,paired scenario within registered stratum; equal-stratum aggregation
scale,P-B6,external_validation,672,7,0.1853586815705567,0.17629955503487119,0.009059126535685524,5.138485195775834,3.8883294717981998,6.447842477957836,paired scenario within registered stratum; equal-stratum aggregation
allocation_pressure,P-SCBBA,external_validation,384,6,0.20255510058387913,0.13416704894745196,0.06838805163642717,50.972315611720816,43.93738602335934,59.160598195235856,paired scenario within registered stratum; equal-stratum aggregation
allocation_pressure,P-DVCBBA,external_validation,384,6,0.20255510058387913,0.18840592281343438,0.014149177770444749,7.5099431902975375,4.674403945952711,10.679506777093877,paired scenario within registered stratum; equal-stratum aggregation
allocation_pressure,P-B6,external_validation,384,6,0.20255510058387913,0.17631585108293132,0.026239249500947803,14.881957203386097,11.187446685634278,18.619042758625035,paired scenario within registered stratum; equal-stratum aggregation
continuous_belief,P-B1m,external_validation,1024,8,0.1247609799300969,0.0905470765593743,0.034213903370722595,37.78576257874826,28.734408628428493,48.58531205105806,paired scenario within registered stratum; equal-stratum aggregation
model_mismatch,P-B1m,external_validation,4608,72,0.16916708157874685,0.08335684672913282,0.08581023484961403,102.94323527910487,94.19000251869312,112.35643519340198,paired scenario within registered stratum; equal-stratum aggregation
utility_profile,P-B1m,external_validation,1536,24,0.16269605560296743,0.09513169770993017,0.06756435789303726,71.02191963298124,60.48122048331675,83.38099394998888,paired scenario within registered stratum; equal-stratum aggregation
battlefield_structure,P-SCBBA,battlefield_sensitivity,1024,64,0.1911297560630393,0.1564911185090141,0.034638637554025214,22.134570884308673,15.585467250698667,29.61994398393279,shared seed block
battlefield_structure,P-DVCBBA,battlefield_sensitivity,1024,64,0.1911297560630393,0.16673718411556787,0.024392571947471436,14.629353420389183,10.169184962918933,19.823807160354697,shared seed block
battlefield_structure,P-B6,battlefield_sensitivity,1024,64,0.1911297560630393,0.1670499219262178,0.02407983413682152,14.41475330198421,10.420261033433249,18.48099697662002,shared seed block
battlefield_structure,P-B1m,battlefield_sensitivity,1024,64,0.1911297560630393,0.17559273836275724,0.015537017700282069,8.848325873353671,4.45592969842773,13.623117895037035,shared seed block
battlefield_structure,P-B4,battlefield_sensitivity,1024,64,0.1911297560630393,0.1839764320701026,0.007153323992936694,3.8881741060240707,1.2426277667005838,6.852199111230735,shared seed block
reachability,P-SCBBA,battlefield_sensitivity,576,64,0.20815622687855448,0.1853088339586807,0.022847392919873782,12.329359821544282,3.477385176832763,23.211719474157146,shared seed block
reachability,P-DVCBBA,battlefield_sensitivity,576,64,0.20815622687855448,0.19218757677116863,0.01596865010738585,8.308887793719983,3.0520660470679797,15.36961574627944,shared seed block
reachability,P-B6,battlefield_sensitivity,576,64,0.20815622687855448,0.18733201376740558,0.020824213111148904,11.116206297234694,4.911700945721534,18.26553853281911,shared seed block
