suite,contrast,scenario_count,stratum_or_seed_blocks,mean,median,ci_low,ci_high,win,tie,loss,bootstrap_unit
battlefield_structure,P-DVCBBA,1024,64,0.02439257194747141,0.0,0.017077719449831438,0.03224351346025677,297,568,159,shared seed block
battlefield_structure,P-B6,1024,64,0.024079834136821514,0.015363604368203845,0.01747942886650146,0.030628770887570766,661,2,361,shared seed block
battlefield_structure,P-B4,1024,64,0.007153323992936658,0.0056378783858135745,0.0024758685529281867,0.011885368266602747,556,0,468,shared seed block
battlefield_structure,P-B1m,1024,64,0.015537017700282043,0.014232332957083302,0.008212676056685044,0.023041436698697834,646,0,378,shared seed block
battlefield_structure,P-SCBBA,1024,64,0.03463863755402519,0.020554349430735874,0.02522393157808128,0.04452227631451038,671,0,353,shared seed block
reachability,P-DVCBBA,576,64,0.015968650107385844,0.0,0.006412987732298532,0.027384617130084582,84,456,36,shared seed block
reachability,P-B6,576,64,0.020824213111148876,0.0142043416938515,0.009089036215097561,0.03276217178115631,400,4,172,shared seed block
reachability,P-SCBBA,576,64,0.02284739291987378,0.0072867324668757505,0.006975788934364888,0.03919242990607718,314,0,262,shared seed block
scale,P-B1m,672,7,0.098681658688008,0.09520772982955113,0.09280775288217522,0.1047081243355344,607,0,65,paired scenario within registered stratum
scale,P-B4,672,7,0.006941957378185031,0.0031320185614168577,0.004125992803154523,0.009704455048020519,369,0,303,paired scenario within registered stratum
scale,P-B6,672,7,0.009059126535685549,0.007304658275097561,0.00692671287143342,0.011208235411000772,445,10,217,paired scenario within registered stratum
scale,P-SCBBA,672,7,0.10614535750767105,0.09919916364790865,0.09989334267854914,0.11237927078835465,609,0,63,paired scenario within registered stratum
scale,P-DVCBBA,672,7,0.01677483549217954,0.0,0.012608179718664965,0.021230043275278675,84,557,31,paired scenario within registered stratum
continuous_belief,P-B1m,1024,8,0.034213903370722595,0.0,0.02736936765639423,0.0416438442017584,440,230,354,paired scenario within registered stratum
continuous_belief,P-B4,1024,8,0.0008922375036078895,0.0,-0.0029969486013780326,0.004855750192390857,248,353,423,paired scenario within registered stratum
continuous_belief,P-B6,1024,8,0.0054847698497738386,0.0,0.0006710443249866689,0.010393741059456636,458,297,269,paired scenario within registered stratum
continuous_belief,P-SCBBA,1024,8,0.035474400611681174,0.0,0.02821028546142399,0.04252497205424979,441,230,353,paired scenario within registered stratum
continuous_belief,P-DVCBBA,1024,8,0.0015267452153528045,0.0,0.00040453666384705826,0.0029402069043499464,13,1003,8,paired scenario within registered stratum
model_mismatch,P-B1m,4608,72,0.08581023484961404,0.0,0.08160690031453426,0.09002479573354134,2110,834,1664,paired scenario within registered stratum
model_mismatch,P-B4,4608,72,0.005266833486677105,-0.00362842325148683,0.0034950986076642807,0.00711190902924298,1348,450,2810,paired scenario within registered stratum
model_mismatch,P-B6,4608,72,0.002504928982496187,0.0,0.001183043763940059,0.0038640600549416973,1522,2394,692,paired scenario within registered stratum
model_mismatch,P-SCBBA,4608,72,0.08575009661113812,0.0,0.08148562815540329,0.08997909635617063,2101,834,1673,paired scenario within registered stratum
model_mismatch,P-DVCBBA,4608,72,-9.388584914867785e-05,0.0,-0.00013637270003316894,-5.505612045047253e-05,7,4574,27,paired scenario within registered stratum
utility_profile,P-B1m,1536,24,0.06756435789303727,0.0,0.061015322351165635,0.07439704221474894,709,260,567,paired scenario within registered stratum
utility_profile,P-B4,1536,24,0.005123079742064209,0.0,0.0018817415128289641,0.008313940431950464,456,362,718,paired scenario within registered stratum
utility_profile,P-B6,1536,24,0.004856267736313023,0.0,0.0021220672467466453,0.007702023693120605,496,818,222,paired scenario within registered stratum
utility_profile,P-SCBBA,1536,24,0.06756413074500305,0.0,0.060933683511536316,0.07434451638468448,709,260,567,paired scenario within registered stratum
utility_profile,P-DVCBBA,1536,24,-3.997649054430712e-06,0.0,-1.1365608302456924e-05,0.0,0,1534,2,paired scenario within registered stratum
cbba_isolation,P-SCBBA,512,8,0.07853065128836055,0.0,0.06598364822252381,0.09103236650658275,224,93,195,paired scenario within registered stratum
cbba_isolation,P-DVCBBA,512,8,0.0,0.0,0.0,0.0,0,512,0,paired scenario within registered stratum
allocation_pressure,P-B6,384,6,0.02623924950094782,0.008951483285489531,0.020162368488028094,0.03242931529102461,247,0,137,paired scenario within registered stratum
allocation_pressure,P-SCBBA,384,6,0.06838805163642715,0.040578029248575016,0.06164757104623463,0.07507882248649811,266,30,88,paired scenario within registered stratum
allocation_pressure,P-DVCBBA,384,6,0.014149177770444762,0.0,0.009267957601097176,0.019592201441468803,57,307,20,paired scenario within registered stratum
