suite,stratum,effect,scenarios,mean,ci_low,ci_high
pressure,ALL,warping,768,0.013719269556642882,0.010402071644923327,0.017322977317911097
pressure,ALL,full_reconstruction,768,-0.0013027808427492193,-0.002681622933707962,2.5823570105727808e-06
pressure,ALL,interaction,768,0.0025609418621384107,-7.092605353939121e-05,0.0053128059708351895
pressure,combined_stress,warping,128,0.0,0.0,0.0
pressure,combined_stress,full_reconstruction,128,0.0,0.0,0.0
pressure,combined_stress,interaction,128,0.0,0.0,0.0
pressure,long_routes,warping,128,0.014906686697623147,0.007630945488459837,0.02322282998324848
pressure,long_routes,full_reconstruction,128,-0.0011914465907348806,-0.005631421505828172,0.0029133188292330466
pressure,long_routes,interaction,128,0.002081737301889039,-0.005534464460880948,0.010169799582093379
pressure,reference,warping,128,0.009600295887053882,0.0032856865708937636,0.017162626737134836
pressure,reference,full_reconstruction,128,-0.0034687778712720932,-0.007363458372021399,-0.0002991301286114252
pressure,reference,interaction,128,0.007818083006359338,0.0015736008985070282,0.01539609652293681
pressure,shared_high_value,warping,128,0.004470096863157745,-9.281942162400103e-05,0.011459025713645725
pressure,shared_high_value,full_reconstruction,128,-1.7118579284233044e-05,-7.263594995307e-05,2.449965764643588e-05
pressure,shared_high_value,interaction,128,3.423715856846609e-05,-5.0094256576740606e-05,0.00014585413375475538
pressure,target_clustered,warping,128,0.04294090290275311,0.02959080421772721,0.05676231591146721
pressure,target_clustered,full_reconstruction,128,-3.769498975023794e-05,-0.004755498319389716,0.0045722741445692935
pressure,target_clustered,interaction,128,-0.00011004552723672002,-0.009370494867011204,0.009150892362151398
pressure,tight_resources,warping,128,0.010397634989269404,0.003814367465212756,0.018312984868778533
pressure,tight_resources,full_reconstruction,128,-0.003101647025453871,-0.007151155102181894,0.00044625146650605806
pressure,tight_resources,interaction,128,0.00554163923325034,-0.001877271228816402,0.013711363250503168
scale,ALL,warping,448,0.01478586910198619,0.01050377040152033,0.01929130133087232
scale,ALL,full_reconstruction,448,0.0006349166209230888,-0.001191587249883908,0.0025645607405770008
scale,ALL,interaction,448,-0.0011813349068027885,-0.004903154896092659,0.0025493789380758147
scale,N4-M10-Rscaled,warping,64,0.005737384585012953,-0.00024295596479264657,0.013403432654838829
scale,N4-M10-Rscaled,full_reconstruction,64,-0.0033680370795251538,-0.00833280294550626,0.0
scale,N4-M10-Rscaled,interaction,64,0.0067360741590503075,0.0,0.01687801198788022
scale,N6-M10-Rscaled,warping,64,0.0011730755949219311,0.0,0.003280920940790191
scale,N6-M10-Rscaled,full_reconstruction,64,-0.0009791646921580837,-0.002937494076474251,0.0
scale,N6-M10-Rscaled,interaction,64,0.0019583293843161674,0.0,0.005874988152948502
scale,N6-M15-Rscaled,warping,64,0.008220089660998322,-0.0005047321721052746,0.019277037999467263
scale,N6-M15-Rscaled,full_reconstruction,64,0.0010519664077775193,-0.0008143692499149894,0.003970492648686671
scale,N6-M15-Rscaled,interaction,64,-0.0021039328155550386,-0.007720371302099639,0.0014091129542984835
scale,N6-M20-Rscaled,warping,64,0.012306186036341737,0.004577675842251793,0.021611810040780895
scale,N6-M20-Rscaled,full_reconstruction,64,0.0027455393404332705,-0.0037375915300697548,0.009756842967908137
scale,N6-M20-Rscaled,interaction,64,-0.005491078680866541,-0.01967076151531595,0.007430225568927629
scale,N6-M30-Rscaled,warping,64,0.030303849459663357,0.015252190736239315,0.04719604448975988
scale,N6-M30-Rscaled,full_reconstruction,64,0.0019547001695992654,-0.0037890706382231547,0.008110099746748466
scale,N6-M30-Rscaled,interaction,64,-0.003978502999124887,-0.016186426764642617,0.007629744730384612
scale,N8-M20-Rscaled,warping,64,0.02267137616442941,0.009378723662601151,0.038091866967827744
scale,N8-M20-Rscaled,full_reconstruction,64,0.0005949490025497477,-0.004414033163800129,0.005152574729493624
scale,N8-M20-Rscaled,interaction,64,-0.0010559952375170508,-0.010368443169182439,0.00883331985045046
scale,N8-M30-Rscaled,warping,64,0.023089122212535625,0.00917256600867015,0.0396266362579699
scale,N8-M30-Rscaled,full_reconstruction,64,0.0024444631977850566,-0.0038102542451068405,0.008509265483383818
scale,N8-M30-Rscaled,interaction,64,-0.004334238157922478,-0.01668152282324828,0.007839259552344859
