suite,stratum,contrast,scenarios,mean_difference,ci_low,ci_high,win,tie,loss
pressure,ALL,V11-V00,768,0.012416488713893663,0.009033854454774181,0.015992599396956624,90,629,49
pressure,ALL,V11-V01,768,0.014999740487712089,0.011259015239890903,0.01885945873979087,84,654,30
pressure,ALL,V11-V10,768,-2.230991168001403e-05,-0.0002933741694611386,0.00022144881917934514,11,753,4
pressure,combined_stress,V11-V00,128,0.0,0.0,0.0,0,128,0
pressure,combined_stress,V11-V01,128,0.0,0.0,0.0,0,128,0
pressure,combined_stress,V11-V10,128,0.0,0.0,0.0,0,128,0
pressure,long_routes,V11-V00,128,0.013715240106888267,0.0061688802826609344,0.022323105689043783,18,103,7
pressure,long_routes,V11-V01,128,0.015947555348567666,0.007336151657654872,0.025754465343136315,14,110,4
pressure,long_routes,V11-V10,128,-0.0001505779397903607,-0.001310512299569252,0.0008561834941428721,4,123,1
pressure,reference,V11-V00,128,0.00613151801578179,0.0004043060776441976,0.013316101086631766,10,108,10
pressure,reference,V11-V01,128,0.013509337390233552,0.005574868415568896,0.02305580994912544,13,112,3
pressure,reference,V11-V10,128,0.00044026363190757627,0.0,0.001198886677754875,3,125,0
pressure,shared_high_value,V11-V00,128,0.004452978283873511,-9.639239095895637e-05,0.011441396968724704,3,119,6
pressure,shared_high_value,V11-V01,128,0.004487215442441978,-9.299597599641727e-05,0.011483902437647667,5,116,7
pressure,shared_high_value,V11-V10,128,0.0,0.0,0.0,0,128,0
pressure,target_clustered,V11-V00,128,0.04290320791300288,0.029217276800731416,0.05726911473395843,50,59,19
pressure,target_clustered,V11-V01,128,0.04288588013913476,0.0290489139001843,0.05799627970952308,41,73,14
pressure,target_clustered,V11-V10,128,-9.271775336859838e-05,-0.00030697268333999323,5.950929219887004e-05,2,124,2
pressure,tight_resources,V11-V00,128,0.007295987963815531,0.0004096023526612137,0.015620352191209117,9,112,7
pressure,tight_resources,V11-V01,128,0.013168454605894574,0.00501942322237546,0.02281498659521825,11,115,2
pressure,tight_resources,V11-V10,128,-0.00033082740882870137,-0.0013134649279035475,0.000279911607287437,2,125,1
scale,ALL,V11-V00,448,0.015420785722909279,0.010708217989402283,0.020484211945672647,60,366,22
scale,ALL,V11-V01,448,0.014195201648584796,0.009657544920591989,0.019275465276983258,49,389,10
scale,ALL,V11-V10,448,4.4249167521694605e-05,-4.935904280453961e-06,0.000126311936347842,4,443,1
scale,N4-M10-Rscaled,V11-V00,64,0.0023693475054877983,-0.0012024944087338709,0.008311248065792138,2,60,2
scale,N4-M10-Rscaled,V11-V01,64,0.009105421664538106,-7.111405948721436e-07,0.0209184067509177,3,60,1
scale,N4-M10-Rscaled,V11-V10,64,0.0,0.0,0.0,0,64,0
scale,N6-M10-Rscaled,V11-V00,64,0.00019391090276384737,-0.0001331848236352641,0.0007149175319268062,1,62,1
scale,N6-M10-Rscaled,V11-V01,64,0.002152240287080015,0.0,0.006218415017264442,2,62,0
scale,N6-M10-Rscaled,V11-V10,64,0.0,0.0,0.0,0,64,0
scale,N6-M15-Rscaled,V11-V00,64,0.00927205606877584,-0.00031392303316582314,0.021650970304626222,5,54,5
scale,N6-M15-Rscaled,V11-V01,64,0.007168123253220801,-0.0011908376406089744,0.01814702119027482,3,57,4
scale,N6-M15-Rscaled,V11-V10,64,0.0,0.0,0.0,0,64,0
scale,N6-M20-Rscaled,V11-V00,64,0.015051725376775005,0.00375327199510402,0.028917435483925866,11,51,2
scale,N6-M20-Rscaled,V11-V01,64,0.009560646695908465,0.001959016450024025,0.02022992166271264,6,58,0
scale,N6-M20-Rscaled,V11-V10,64,0.0,0.0,0.0,0,64,0
scale,N6-M30-Rscaled,V11-V00,64,0.032258549629262626,0.016075503675864786,0.05034072849983198,14,48,2
scale,N6-M30-Rscaled,V11-V01,64,0.028314597960100916,0.01296051413399061,0.04577972367510586,13,51,0
scale,N6-M30-Rscaled,V11-V10,64,-3.455132996317773e-05,-0.00010365398988953318,0.0,0,63,1
scale,N8-M20-Rscaled,V11-V00,64,0.023266325166979157,0.009196081974939015,0.0395997571879676,11,47,6
scale,N8-M20-Rscaled,V11-V01,64,0.022143378545670885,0.00819909093035253,0.03822503411914232,13,48,3
scale,N8-M20-Rscaled,V11-V10,64,6.695138379122232e-05,0.0,0.00019908826133998615,2,62,0
scale,N8-M30-Rscaled,V11-V00,64,0.025533585410320678,0.010461865563613205,0.04294409204528155,16,44,4
scale,N8-M30-Rscaled,V11-V01,64,0.020922003133574382,0.006551983732023596,0.03857447119428648,9,53,2
scale,N8-M30-Rscaled,V11-V10,64,0.00027734411882381765,0.0,0.0007865980068493079,2,62,0
